id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33422152,Entre chartron et jardin public,83473494,Marie-Helene,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85204,-0.57889,Entire home/apt,75,2,7,2019-06-25,1.02,1,0
33438265,T2 idéal coloc.bail mobilité hyper centre,14975023,Brigitte,Bordeaux,Centre ville (Bordeaux),44.8409,-0.5744,Entire home/apt,40,30,0,,,3,85
33439352,Chambre 2 personnes,46911190,Julie,Bgles,Bgles,44.80571,-0.56864,Private room,45,1,2,2019-09-09,0.37,1,5
33446364,Le 83,52909127,Rebecca,Bordeaux,Caudran,44.8585,-0.61249,Private room,25,1,25,2019-08-16,3.21,1,23
33448769,Cosy home,4047684,Alexandra,Bordeaux,Centre ville (Bordeaux),44.83968,-0.59514,Private room,35,2,15,2019-09-02,2.00,1,336
33450763,❤️ Cité du Vin - 2 Chambres Privées Climatisées.,29869543,Marc,Bordeaux,Bordeaux Maritime,44.87482,-0.55239,Private room,79,1,35,2019-11-11,4.73,8,57
33459528,Bel appartement T2 + terrasse,150550054,Margot,Bordeaux,Caudran,44.84217,-0.62812,Entire home/apt,50,1,12,2019-11-11,1.49,1,147
33460527,Chambre de lumière face Gare Saint-Jean,51225586,Adele,Bordeaux,Bordeaux Sud,44.82668,-0.55773,Private room,35,1,31,2019-11-17,5.85,1,0
33461869,T2 très calme et lumineux proche Bordeaux,225366092,Katheleen,Merignac,Capeyron,44.84713,-0.64335,Entire home/apt,35,2,6,2019-06-21,0.85,1,0
33467728,Appart BOULAN T1Bis 28m²,15116567,Virginie,Bordeaux,Centre ville (Bordeaux),44.83778,-0.58099,Entire home/apt,74,4,7,2019-09-17,1.00,19,144
33467826,Agréable maison sur terrain arboré,252153393,Christian,Gradignan,Gradignan,44.76695,-0.61884,Entire home/apt,65,4,8,2019-08-02,1.09,1,23
33471278,Véritable havre de paix à 10mn du centre ville.,252185215,Catherine,Le Bouscat,Le Bouscat,44.86007,-0.59058,Private room,70,2,0,,,1,358
