,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone
227,5729270,4253121,Entire home/apt,1,49,93,256.0,12544.0,2
228,5748433,29819248,Entire home/apt,1,70,30,125.99999999999999,8819.999999999998,1
229,5757685,9992552,Entire home/apt,1,60,33,138.6,8316.0,4
230,5776292,29322226,Entire home/apt,1,52,21,88.19999999999999,4586.4,3
231,5780332,17112665,Entire home/apt,1,70,13,54.599999999999994,3821.9999999999995,2
232,5808913,2942339,Entire home/apt,1,62,12,50.4,3124.7999999999997,6
233,5811292,23994089,Entire home/apt,Studio,37,30,125.99999999999999,4661.999999999999,5
234,5812690,17952183,Private room,1,42,12,50.4,2116.7999999999997,1
235,5821753,30214079,Entire home/apt,1,66,48,201.6,13305.6,3
236,5822535,17832583,Entire home/apt,1,50,38,159.6,7980.0,1
237,5822721,11437177,Private room,1,45,31,130.2,5858.999999999999,5
238,5823226,23232697,Entire home/apt,2,98,16,67.19999999999999,6585.5999999999985,3
239,5832512,14357320,Entire home/apt,1,119,20,84.0,9996.0,1
240,5860555,30428833,Entire home/apt,1,80,27,113.39999999999999,9072.0,2
241,5867830,27042929,Entire home/apt,2,130,14,58.8,7644.0,4
242,5890138,30589575,Entire home/apt,2,90,33,138.6,12474.0,1
243,5896482,2769716,Entire home/apt,1,49,9,37.8,1852.1999999999998,4
244,5897929,30632202,Private room,2,72,11,46.199999999999996,3326.3999999999996,4
245,5911201,28763811,Entire home/apt,1,88,17,71.39999999999999,6283.199999999999,2
246,5924402,30763496,Entire home/apt,1,75,10,42.0,3150.0,1
247,5956993,21675504,Entire home/apt,1,69,14,58.8,4057.2,4
248,5962924,30955186,Entire home/apt,1,49,10,42.0,2058.0,1
249,5984594,12595418,Entire home/apt,1,55,8,33.599999999999994,1847.9999999999998,1
250,5989743,26693194,Entire home/apt,3+,140,10,42.0,5880.0,2
251,5994397,31124265,Entire home/apt,1,45,7,29.4,1323.0,5
252,5999424,31144619,Entire home/apt,3+,130,16,67.19999999999999,8735.999999999998,3
253,6037021,31331898,Entire home/apt,3+,99,7,29.4,2910.6,5
254,6039639,31344321,Private room,1,38,22,92.39999999999999,3511.2,1
255,6072724,12286587,Private room,1,77,19,79.8,6144.599999999999,2
256,6089468,23613511,Entire home/apt,1,46,13,54.599999999999994,2511.6,6
257,6101856,22003654,Private room,1,49,13,54.599999999999994,2675.3999999999996,5
258,6112641,14918456,Private room,1,36,60,251.99999999999997,9071.999999999998,1
259,6151106,3611911,Entire home/apt,1,70,25,105.0,7350.0,1
260,6153615,20230285,Entire home/apt,2,60,8,33.599999999999994,2015.9999999999995,6
261,6178978,30711279,Private room,1,30,12,50.4,1512.0,3
262,6233722,4527630,Entire home/apt,3+,100,9,37.8,3779.9999999999995,5
263,6234768,30702013,Entire home/apt,3+,100,7,29.4,2940.0,6
264,6237259,31904401,Private room,1,25,22,92.39999999999999,2310.0,5
265,6248917,20965298,Entire home/apt,1,95,7,29.4,2793.0,4
266,6254000,32486742,Entire home/apt,Studio,52,95,256.0,13312.0,5
267,6255410,29576862,Private room,1,50,11,46.199999999999996,2310.0,5
268,6258384,31733189,Entire home/apt,1,40,8,33.599999999999994,1343.9999999999998,2
269,6268945,29773184,Private room,1,43,73,256.0,11008.0,4
270,6275475,20852139,Entire home/apt,Studio,59,7,29.4,1734.6,5
271,6284447,32668422,Entire home/apt,3+,120,8,33.599999999999994,4031.999999999999,5
272,6295265,22516442,Entire home/apt,1,61,7,29.4,1793.3999999999999,3
273,6299994,32760996,Entire home/apt,1,67,29,121.8,8160.599999999999,2
274,6321492,30632202,Private room,3+,110,15,62.99999999999999,6929.999999999999,4
275,6334249,17832583,Entire home/apt,2,85,22,92.39999999999999,7853.999999999999,2
276,6334264,17832583,Entire home/apt,1,70,52,218.39999999999998,15287.999999999998,1
277,6353802,33100616,Entire home/apt,2,102,15,62.99999999999999,6425.999999999999,4
278,6395887,33349281,Private room,1,29,11,46.199999999999996,1339.8,6
279,6398097,33361438,Entire home/apt,Studio,40,12,50.4,2016.0,6
280,6399903,33356520,Entire home/apt,3+,250,9,37.8,9450.0,4
281,6406982,5232294,Entire home/apt,1,68,74,256.0,17408.0,3
282,6422120,24944627,Entire home/apt,3+,200,23,96.6,19320.0,5
283,6424164,33338004,Private room,1,29,120,256.0,7424.0,6
284,6483261,22119460,Entire home/apt,Studio,37,64,256.0,9472.0,3
285,6483783,33727141,Private room,1,27,9,37.8,1020.5999999999999,2
286,6491483,33828687,Entire home/apt,2,250,7,29.4,7350.0,1
287,6497569,33963484,Entire home/apt,1,95,21,88.19999999999999,8378.999999999998,2
288,6500847,22431689,Private room,1,17,17,71.39999999999999,1213.8,5
289,6524290,16996239,Entire home/apt,1,60,23,96.6,5796.0,1
290,6538200,34193401,Private room,1,28,10,42.0,1176.0,6
291,6555236,21352549,Entire home/apt,Studio,39,13,54.599999999999994,2129.3999999999996,5
