,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone,latitude,longitude,geometry
120,3190584,16172955,Private room,1,30,48,256,7680,6,44.87749,-0.54709,POINT (-0.54709 44.87749)
121,3204509,16236920,Entire home/apt,1,58,15,90,5220,3,44.85615,-0.5635,POINT (-0.5635 44.85615)
122,3226950,16057666,Private room,2,80,22,132,10560,1,44.84205,-0.59367,POINT (-0.59367 44.84205)
123,3228212,16339007,Entire home/apt,2,110,28,168,18480,1,44.839459999999995,-0.56834,POINT (-0.56834 44.83946)
124,3331472,7914202,Private room,1,35,44,256,8960,3,44.83032,-0.5844,POINT (-0.5844 44.83032)
125,3333495,16764952,Entire home/apt,1,90,20,120,10800,1,44.84109,-0.5817,POINT (-0.5817 44.84109)
126,3339010,16854851,Entire home/apt,2,90,8,48,4320,2,44.83485,-0.56675,POINT (-0.56675 44.83485)
127,3357672,9694254,Private room,1,40,83,256,10240,2,44.82036,-0.55111,POINT (-0.55111 44.82036)
128,3368682,15433934,Entire home/apt,3+,400,7,42,16800,1,44.85105,-0.5826,POINT (-0.5826 44.85105)
129,3369061,15932813,Entire home/apt,1,72,42,252,18144,1,44.84802,-0.58729,POINT (-0.58729 44.84802)
130,3384484,6133211,Entire home/apt,1,85,52,256,21760,2,44.83661,-0.56984,POINT (-0.56984 44.83661)
131,3393655,17121027,Entire home/apt,3+,185,14,84,15540,5,44.82575,-0.57328,POINT (-0.57328 44.82575)
132,3431983,17295696,Entire home/apt,1,90,10,60,5400,2,44.8363,-0.5758800000000001,POINT (-0.5758800000000001 44.8363)
133,3467646,17404543,Entire home/apt,3+,98,22,132,12936,1,44.8531,-0.56992,POINT (-0.56992 44.8531)
134,3469467,17481578,Entire home/apt,3+,155,8,48,7440,3,44.82039,-0.5675399999999999,POINT (-0.5675399999999999 44.82039)
135,3517764,17698340,Entire home/apt,1,85,21,126,10710,1,44.85018,-0.58502,POINT (-0.58502 44.85018)
136,3536687,17635417,Shared room,1,24,11,66,1584,1,44.85096,-0.58221,POINT (-0.58221 44.85096)
137,3554744,17898909,Private room,1,40,61,256,10240,2,44.8345,-0.56758,POINT (-0.56758 44.8345)
138,3558795,14011390,Entire home/apt,2,75,15,90,6750,1,44.83867,-0.57703,POINT (-0.57703 44.83867)
139,3569633,17972568,Entire home/apt,2,69,23,138,9522,2,44.85324,-0.58919,POINT (-0.58919 44.85324)
140,3570100,6715570,Private room,1,89,8,48,4272,5,44.81167,-0.56515,POINT (-0.56515 44.81167)
141,3584354,18056052,Entire home/apt,1,30,11,66,1980,2,44.83417,-0.57472,POINT (-0.57472 44.83417)
142,3591392,18092256,Entire home/apt,2,190,14,84,15960,1,44.8519,-0.56944,POINT (-0.5694399999999999 44.8519)
143,3591507,1563225,Entire home/apt,3+,145,41,246,35670,5,44.8336,-0.56676,POINT (-0.56676 44.8336)
144,3623882,18254467,Private room,2,35,13,78,2730,5,44.8423,-0.54033,POINT (-0.54033 44.8423)
145,3648370,17643180,Private room,1,50,31,186,9300,4,44.826409999999996,-0.56501,POINT (-0.56501 44.82641)
146,3692056,18796190,Entire home/apt,1,65,14,84,5460,4,44.828379999999996,-0.59839,POINT (-0.59839 44.82838)
147,3693784,18796190,Entire home/apt,2,83,12,72,5976,4,44.82698,-0.59754,POINT (-0.59754 44.82698)
148,3695348,18819458,Entire home/apt,1,45,34,204,9180,1,44.841390000000004,-0.57244,POINT (-0.5724399999999999 44.84139)
149,3717878,18982647,Entire home/apt,1,65,7,42,2730,1,44.83957,-0.57168,POINT (-0.57168 44.83957)
150,3718301,2735557,Entire home/apt,1,29,34,204,5916,6,44.83441,-0.5223300000000001,POINT (-0.5223300000000001 44.83441)
151,3732992,12410494,Entire home/apt,1,95,48,256,24320,1,44.846470000000004,-0.57172,POINT (-0.57172 44.84647)
152,3735254,19092197,Private room,1,26,19,114,2964,5,44.89574,-0.75129,POINT (-0.75129 44.89574)
153,3738130,19109255,Private room,1,25,61,256,6400,6,44.88068,-0.57212,POINT (-0.57212 44.88068)
154,3810262,12595418,Entire home/apt,1,50,17,102,5100,1,44.83983,-0.57,POINT (-0.57 44.83983)
155,3848661,15315094,Entire home/apt,2,120,39,234,28080,1,44.84039,-0.57693,POINT (-0.5769300000000001 44.84039)
156,3885509,18745209,Entire home/apt,3+,560,8,48,26880,4,44.83362,-0.61978,POINT (-0.61978 44.83362)
157,3998507,19838823,Entire home/apt,1,110,21,126,13860,1,44.842490000000005,-0.58126,POINT (-0.58126 44.84249000000001)
158,4037369,20931814,Private room,1,30,20,120,3600,5,44.86736,-0.5479999999999999,POINT (-0.5479999999999999 44.86736)
159,4043299,20965298,Private room,1,25,30,180,4500,4,44.82673,-0.55791,POINT (-0.55791 44.82673)
160,4066801,21115256,Entire home/apt,2,180,22,132,23760,1,44.839420000000004,-0.56984,POINT (-0.56984 44.83942)
161,4088420,20636507,Entire home/apt,2,90,7,42,3780,1,44.84594,-0.57691,POINT (-0.57691 44.84594)
162,4097548,21253267,Entire home/apt,1,110,10,60,6600,1,44.85305,-0.60025,POINT (-0.60025 44.85305)
163,4122957,21359954,Private room,1,45,28,168,7560,1,44.84145,-0.57272,POINT (-0.57272 44.84145)
164,4126636,21307314,Entire home/apt,2,110,22,132,14520,1,44.84551,-0.58515,POINT (-0.5851499999999999 44.84551)
165,4154174,6481965,Private room,1,40,38,228,9120,1,44.82933,-0.5914,POINT (-0.5914 44.82933)
166,4190104,21738617,Private room,1,34,46,256,8704,5,44.83249,-0.56339,POINT (-0.5633899999999999 44.83249)
167,4222263,16948727,Private room,1,42,16,96,4032,3,44.83117,-0.56829,POINT (-0.56829 44.83117)
168,4370385,18011552,Entire home/apt,3+,105,26,156,16380,2,44.83725,-0.57168,POINT (-0.57168 44.83725)
169,4414897,21957328,Entire home/apt,2,95,7,42,3990,2,44.83339,-0.58701,POINT (-0.58701 44.83339)
